Email;Status
comitesjd@gmail.com;VALIDO
comitesm@terra.com.br;PENDENTE
cbh-ps@comiteps.sp.gov.br;VALIDO
cbhlnorte@gmail.com;VALIDO
comitepardo@yahoo.com.br;VALIDO
se.pcj@comites.baciaspcj.org.br;VALIDO
comiteat@sp.gov.br;INCERTO
cbhbs@uol.com.br;PENDENTE
comitesmg@netsite.com.br;INVALIDO
comitemogi@gmail.com;VALIDO
colegiadocbhsmt@gmail.com;VALIDO
comiterb@gmail.com;VALIDO
cbhbpg@gmail.com;VALIDO
comitetj@yahoo.com.br;VALIDO
cbhalpa@gmail.com;VALIDO
comitetg@gmail.com;VALIDO
comitetietebatalha@gmail.com;VALIDO
secretaria@cbhmp.org;SCRAPED
cbh-bt@uol.com.br;PENDENTE
secretaria@cbhap.org;SCRAPED
contatocbhpp@gmail.com;VALIDO
